Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
محنت کامیابی کی کنجی ہے۔,"She reminded herself that no pain, no gain, as she pushed through the last mile of her morning run.","Translate this sentence to Urdu: 'She reminded herself that no pain, no gain, as she pushed through the last mile of her morning run.'",وہ نے خود کو یاد دلایا کہ بغیر درد کے کوئی فائدہ نہیں ہوتا، جب وہ صبح کی دوڑ کے آخری میل کو مکمل کر رہی تھی۔,اس نے خود کو یاد دلایا کہ بغیر درد کے، کچھ حاصل نہیں ہوتا، جب وہ اپنی صبح کی دوڑ کا آخری میل مکمل کر رہی تھی۔,3.0,3.0,3.0,3.0
مشق انسان کو کامل بنا دیتی ہے۔,There is nothing like enough practice and eventually it is the practice that will make you perfect .,Translate this sentence to Urdu: 'There is nothing like enough practice and eventually it is the practice that will make you perfect .',کام کی کوئی بھی مقدار کافی نہیں ہوتی اور آخر کار عمل کرتے رہنے سے ہی آپ کامیاب ہوتے ہیں۔,کافی مشق کی کوئی حد نہیں ہے اور آخرکار یہ مشق ہی ہے جو آپ کو کامل بنائے گی۔,3.0,3.0,1.0,2.0
وقت کسی کا انتظار نہیں کرتا۔,"No matter how much he procrastinated, he eventually realized that time and tide wait for no man.","Translate this sentence to Urdu: 'No matter how much he procrastinated, he eventually realized that time and tide wait for no man.'",چاہے وہ کتنی ہی تاخیر کرتا رہا، اختتام میں اس نے یہ سمجھا کہ وقت اور پانی کسی کا نہیں رکتے۔,چاہے وہ کتنا بھی ٹالتا رہا، بالآخر اُس نے یہ محسوس کیا کہ وقت اور لہر کسی کا انتظار نہیں کرتے۔,3.0,3.0,1.0,3.0
دیر آید درست آید۔,"She finally submitted her project a day before the deadline, thinking, ""Better late than never.""","Translate this sentence to Urdu: 'She finally submitted her project a day before the deadline, thinking, ""Better late than never.""'","وہ آخرکار اپنا منصوبہ مہلت سے ایک دن پہلے جمع کرا دیا، سوچتی، ""دیر آیے درست آیے۔""","آخر کار اس نے آخری تاریخ سے ایک دن پہلے اپنا منصوبہ جمع کروا دیا، سوچتے ہوئے، ""دیر آید درست آید۔""",3.0,3.0,3.0,3.0
محبت اندھی ہوتی ہے۔,"Despite his many flaws, she couldn't see them because love is blind.","Translate this sentence to Urdu: 'Despite his many flaws, she couldn't see them because love is blind.'",اُس کے بہت سارے عیبوں کے باوجود، وہ انہیں نہیں دیکھ سکتی تھی کیونکہ محبت اندھی ہوتی ہے۔,'اس کی بہت سی خامیوں کے باوجود، وہ انہیں نہیں دیکھ سکتی تھی کیونکہ محبت اندھی ہوتی ہے۔',3.0,3.0,3.0,3.0
محبت اور جنگ میں ہر چیز جائز ہوتی ہے۔,"When he found out she had been secretly planning the surprise party for weeks, he couldn't be upset because all is fair in love and war.","Translate this sentence to Urdu: 'When he found out she had been secretly planning the surprise party for weeks, he couldn't be upset because all is fair in love and war.'",جب اس نے پتہ چلا کہ وہ ہفتوں سے پراسرار تجویز پارٹی کی منصوبہ بندی کر رہی تھی، وہ ناراض نہیں ہو سکتا تھا کیونکہ محبت اور جنگ میں سب کچھ جائز ہے۔,جب اسے پتہ چلا کہ وہ ہفتوں سے خفیہ طور پر سرپرائز پارٹی کی منصوبہ بندی کر رہی تھی، تو وہ ناراض نہیں ہو سکا کیونکہ محبت اور جنگ میں سب جائز ہے۔,3.0,3.0,3.0,3.0
دل کو دل سے راہ ہوتی ہے۔,"After years of misunderstanding, they finally had a heart to heart and resolved their differences.","Translate this sentence to Urdu: 'After years of misunderstanding, they finally had a heart to heart and resolved their differences.'",سالوں تک سمجھوتے میں رہنے کے بعد، انہوں نے آخر کار دل سے دل مل کر اپنے فرق کو حل کر دیا۔,سالوں کی غلط فہمیوں کے بعد، انہوں نے آخرکار دل کی باتیں کیں اور اپنے اختلافات کو حل کر لیا۔,3.0,3.0,3.0,3.0
دوستوں کو قریب لیکن دشمنوں کو قریب تر رکھو۔,As a politician you must keep your friends close and your enemies closer .,Translate this sentence to Urdu: 'As a politician you must keep your friends close and your enemies closer .',جیسے ہی سیاستدان آپ کو اپنے دوستوں کو قریب رکھنا چاہئے اور اپنے دشمنوں کو اور زیادہ قریب رکھنا چاہئے۔,بطور سیاستدان آپ کو اپنے دوستوں کو قریب اور دشمنوں کو مزید قریب رکھنا چاہیے۔,3.0,3.0,1.0,3.0
اپنا اپنا غیر غیر,"When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , blood is thicker than water .","Translate this sentence to Urdu: 'When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , blood is thicker than water .'",جب آپ مشکل میں پڑتے ہیں، عام طور پر آپ کی فیملی ہی آپ کی مدد کرتی ہے، نا کہ آپ کے دوست اور آخر کار، خون پانی سے زیادہ گاڑھا ہوتا ہے۔,جب آپ مشکل میں پھنس جاتے ہیں تو عموماً آپ کے خاندان والے ہی آپ کی مدد کو آتے ہیں، نہ کہ آپ کے دوست اور آخرکار، خون کا رشتہ پانی سے گاڑھا ہوتا ہے۔,3.0,3.0,3.0,3.0
آسمان سے گرا کھجورمیں اٹکا,"In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .","Translate this sentence to Urdu: 'In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .'",استقلال حاصل کرنے کی کوشش میں، اس نے جلد شادی کرنے کو منظور کیا، جانتے ہوئے نہیں کہ وہ خطرناک مرحلے میں جا رہی تھی۔,آزادی حاصل کرنے کی کوشش میں، اس نے جلد شادی کرنے پر رضامندی ظاہر کی، یہ جانے بغیر کہ وہ چولہے سے نکل کر آگ میں جا گری۔,2.0,3.0,1.0,3.0
آنکھ اوجھل پہاڑاوجھل,"It is out of sight , out of mind for them but that is not a good thing in any way .","Translate this sentence to Urdu: 'It is out of sight , out of mind for them but that is not a good thing in any way .'",یہ ان کے لیے بھولیاں بھاگی ہوئی ہیں مگر یہ کسی بھی طرح اچھی بات نہیں۔,"""اُن کے لیے یہ نظر سے دور، دل سے دور ہے لیکن یہ کسی بھی طرح سے اچھی بات نہیں ہے۔""",3.0,3.0,1.0,3.0
