Urdu_Idiom,English_Meaning,Best_Match,Similarity,ai_sentence,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
محنت کامیابی کی کنجی ہے۔,Hard work is the key to success.,"no pain, no gain",0.7754333019256592,yes,"She reminded herself that no pain, no gain, as she pushed through the last mile of her morning run.","'محنت کامیابی کی کنجی ہے۔' means 'no pain, no gain'. Given the above knowledge translate the following sentence to Urdu: 'She reminded herself that no pain, no gain, as she pushed through the last mile of her morning run.'",وہ اپنے آپ کو یاد دلاتی رہی تھی کہ محنت کامیابی کی کنجی ہے، جب وہ صبح کی رننگ کے آخری میل کو تکمیل کر رہی تھی۔,اُس نے خود کو یاد دلایا کہ محنت کامیابی کی کنجی ہے، جب وہ اپنی صبح کی دوڑ کے آخری میل کو عبور کر رہی تھی۔,2.0,2.0,2.0,2.0
مشق انسان کو کامل بنا دیتی ہے۔,Practice makes a person perfect.,practice makes perfect,0.8546755313873291,no,There is nothing like enough practice and eventually it is the practice that will make you perfect .,'مشق انسان کو کامل بنا دیتی ہے۔' means 'practice makes perfect'. Given the above knowledge translate the following sentence to Urdu: 'There is nothing like enough practice and eventually it is the practice that will make you perfect .',کافی مشق کی کوئی بات نہیں اور آخر کار مشق ہی آپ کو کامل بنائے گی۔,کافی مشق جیسی کوئی چیز نہیں ہے اور بالآخر یہی مشق آپ کو کامل بنائے گی۔,3.0,3.0,3.0,2.0
وقت کسی کا انتظار نہیں کرتا۔,Time waits for no one.,time and tide wait for no man,0.7362501621246338,yes,"No matter how much he procrastinated, he eventually realized that time and tide wait for no man.","'وقت کسی کا انتظار نہیں کرتا۔' means 'time and tide wait for no man'. Given the above knowledge translate the following sentence to Urdu: 'No matter how much he procrastinated, he eventually realized that time and tide wait for no man.'",چاہے جتنی دیر ہو، اس نے آخر کار سمجھا کہ وقت کسی کا انتظار نہیں کرتا۔,چاہے وہ کتنا بھی ٹال مٹول کرتا رہا، آخرکار اس نے یہ حقیقت جان لی کہ وقت کسی کا انتظار نہیں کرتا۔,3.0,3.0,3.0,3.0
دیر آید درست آید۔,Better late than never.,better late than never,0.9761054515838624,yes,"She finally submitted her project a day before the deadline, thinking, ""Better late than never.""","'دیر آید درست آید۔' means 'better late than never'. Given the above knowledge translate the following sentence to Urdu: 'She finally submitted her project a day before the deadline, thinking, ""Better late than never.""'","وہ انجامیہ اپنے منظر نامے کو مہلت سے ایک دن پہلے جمع کرائیں، سوچتے ہوئے، ""دیر آید درست آید۔""","اُس نے آخرکار اپنا پروجیکٹ آخری تاریخ سے ایک دن پہلے جمع کروا دیا، سوچتے ہوئے، ""دیر آید درست آید۔""",3.0,3.0,3.0,3.0
محبت اندھی ہوتی ہے۔,Love is blind.,love is blind,0.9760262966156006,yes,"Despite his many flaws, she couldn't see them because love is blind.","'محبت اندھی ہوتی ہے۔' means 'love is blind'. Given the above knowledge translate the following sentence to Urdu: 'Despite his many flaws, she couldn't see them because love is blind.'",ان کی بہت سی خامیوں کے باوجود، وہ انہیں دیکھ نہیں سکتی تھی کیونکہ محبت اندھی ہوتی ہے۔,'بہت سی خامیوں کے باوجود، وہ انہیں دیکھ نہیں سکتی تھی کیونکہ محبت اندھی ہوتی ہے۔',3.0,3.0,3.0,3.0
محبت اور جنگ میں ہر چیز جائز ہوتی ہے۔,Everything is fair in love and war,all is fair in love and war,0.946670949459076,yes,"When he found out she had been secretly planning the surprise party for weeks, he couldn't be upset because all is fair in love and war.","'محبت اور جنگ میں ہر چیز جائز ہوتی ہے۔' means 'all is fair in love and war'. Given the above knowledge translate the following sentence to Urdu: 'When he found out she had been secretly planning the surprise party for weeks, he couldn't be upset because all is fair in love and war.'",جب اس نے یہ پتا چلا کہ وہ ہفتوں سے راز کے سرپرست تقریب کی منصوبہ بندی کر رہی تھی، تو وہ ناراض نہیں ہو سکتا تھا کیونکہ محبت اور جنگ میں ہر چیز جائز ہوتی ہے۔,جب اسے پتہ چلا کہ وہ ہفتوں سے خفیہ طور پر سرپرائز پارٹی کی منصوبہ بندی کر رہی تھی، تو وہ ناراض نہیں ہو سکتا تھا کیونکہ محبت اور جنگ میں ہر چیز جائز ہوتی ہے۔,3.0,3.0,3.0,3.0
دل کو دل سے راہ ہوتی ہے۔,The heart finds its way through the heart.,heart to heart,0.8447049856185913,yes,"After years of misunderstanding, they finally had a heart to heart and resolved their differences.","'دل کو دل سے راہ ہوتی ہے۔' means 'heart to heart'. Given the above knowledge translate the following sentence to Urdu: 'After years of misunderstanding, they finally had a heart to heart and resolved their differences.'",سالوں کی بے تفہمی کے بعد، انہوں نے آخرکار دل سے دل کی بات کی اور اپنے فرقے حل کیے۔,سالوں کی غلط فہمیوں کے بعد، آخرکار انہوں نے دل کو دل سے بات کی اور اپنے اختلافات کو حل کر لیا۔,3.0,3.0,2.0,3.0
دوستوں کو قریب لیکن دشمنوں کو قریب تر رکھو۔,Keep friends close but keep enemies closer.,keep your friends close and your enemies closer,0.911809265613556,no,As a politician you must keep your friends close and your enemies closer .,'دوستوں کو قریب لیکن دشمنوں کو قریب تر رکھو۔' means 'keep your friends close and your enemies closer'. Given the above knowledge translate the following sentence to Urdu: 'As a politician you must keep your friends close and your enemies closer .','ایک سیاستدان کے طور پر آپ کو اپنے دوستوں کو قریب رکھنا چاہئے اور اپنے دشمنوں کو قریب تر رکھنا چاہئے۔',سیاستدان کے طور پر آپ کو دوستوں کو قریب لیکن دشمنوں کو قریب تر رکھنا چاہیے۔,3.0,3.0,3.0,3.0
اپنا اپنا غیر غیر,Blood is thicker than water,blood is thicker than water,1.0,no,"When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , blood is thicker than water .","'اپنا اپنا غیر غیر' means 'blood is thicker than water'. Given the above knowledge translate the following sentence to Urdu: 'When you get into trouble , usually your family will be the ones to bail you out , not your friends and After all , blood is thicker than water .'",جب آپ مشکل میں پڑ جائیں، عام طور پر آپ کو آپ کے خاندان والے بچاتے ہیں، دوست نہیں اور آخر کار، اپنا اپنا غیر غیر ہوتا ہے۔,جب آپ مشکل میں پڑتے ہیں تو عام طور پر آپ کا خاندان ہی آپ کی مدد کرے گا، نہ کہ آپ کے دوست اور آخرکار، اپنا اپنا غیر غیر۔,2.0,1.0,1.0,1.0
آسمان سے گرا کھجورمیں اٹکا,Out of the frying pan into the fire,out of the frying pan into the fire,1.0,no,"In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .","'آسمان سے گرا کھجورمیں اٹکا' means 'out of the frying pan into the fire'. Given the above knowledge translate the following sentence to Urdu: 'In a bid to gain independence , she agreed to get married early , not knowing she was jumping out of the frying pan into the fire .'",'آزادی حاصل کرنے کی کوشش میں، اس نے جلد شادی کرنے کے لیے رضامند ہوگئی، جانتی نہ تھی کہ وہ آسمان سے گرا کھجور میں اٹکی ہوئی ہے۔',آزادی حاصل کرنے کی کوشش میں، اُس نے جلدی شادی کرنے پر رضامندی ظاہر کردی، یہ جانے بغیر کہ وہ آسمان سے گر کر کھجور میں اٹک رہی تھی۔,2.0,2.0,3.0,3.0
