Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !",not the sharpest tool in the shed,not very intelligent; lacking in intelligence,"```json
{
    ""English idiom"": ""not the sharpest tool in the shed"",
    ""English definition"": ""A humorous way of saying that someone is not very intelligent or is slow to understand things."",
    ""Chinese idiom 1"": ""笨鸟先飞"",
    ""Chinese idiom 2"": ""呆若木鸡"",
    ""Chinese idiom 3"": ""头脑简单""
}
```",笨鸟先飞,"'not the sharpest tool in the shed' means '笨鸟先飞'. Given the above knowledge, translate the following sentence to Chinese: 'Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !'",她的新男朋友虽然不算聪明，但长得还挺帅的！,她的新男朋友虽然笨鸟先飞，但长得挺帅的！,3,1,2,1
He should not become the chairman of the committee as he has too many axes of his own to grind .,axe to grind,to have a personal motive or selfish reason for doing or promoting something,"```json
{
  ""English idiom"": ""axe to grind"",
  ""English definition"": ""an ulterior motive; a private aim or objective, which a person uses to promote oneself, often in a selfish way."",
  ""Chinese idiom 1"": ""别有用心"",
  ""Chinese idiom 2"": ""图谋不轨"",
  ""Chinese idiom 3"": """"
}
```",别有用心,"'axe to grind' means '别有用心'. Given the above knowledge, translate the following sentence to Chinese: 'He should not become the chairman of the committee as he has too many axes of his own to grind .'",他不应该成为委员会主席，因为他有太多别有用心。,他不应该成为委员会的主席，因为他有太多别有用心的地方。,2,2,3,2
"Harry is a live wire ; we must invite him too , on a grand dinner tonight .",live wire,"an energetic, lively, or dynamic person","```json
{
  ""English idiom"": ""live wire"",
  ""English definition"": ""A lively, energetic, and unpredictable person."",
  ""Chinese idiom 1"": ""生龙活虎"",
  ""Chinese idiom 2"": ""活蹦乱跳"",
  ""Chinese idiom 3"": """"
}
```",生龙活虎,"'live wire' means '生龙活虎'. Given the above knowledge, translate the following sentence to Chinese: 'Harry is a live wire ; we must invite him too , on a grand dinner tonight .'",Harry是一个生龙活虎的人；我们今晚也必须邀请他参加盛大的晚宴。,哈利是个生龙活虎的人；我们今晚盛大的晚宴也一定要请他。,2,2,3,3
I do n't give a damn of how you make it but you have to come to my party .,not give a damn,to not care at all; to have no interest or concern,"```json
{
  ""English idiom"": ""not give a damn"",
  ""English definition"": ""To be completely indifferent or unconcerned about something."",
  ""Chinese idiom 1"": ""无动于衷"",
  ""Chinese idiom 2"": ""置之不理"",
  ""Chinese idiom 3"": ""漠不关心""
}
```",漠不关心,"'not give a damn' means '漠不关心'. Given the above knowledge, translate the following sentence to Chinese: 'I do n't give a damn of how you make it but you have to come to my party .'",我不在乎你是怎么做的，但你一定要来参加我的派对。,我才不在乎你怎么做，但你必须来参加我的派对。,2,3,2,2
My friend and his fiancee went steady for more than a year before they decided to get engaged .,go steady,"to be in a romantic relationship with someone and have a commitment to each other, often characterized by exclusivity and stability","```json
{
  ""English idiom"": ""go steady"",
  ""English definition"": ""To have a serious romantic relationship with someone, often implying exclusivity and long-term intentions.""
}
```","To have a serious romantic relationship with someone, often implying exclusivity and long-term intentions.","'go steady' means 'To have a serious romantic relationship with someone, often implying exclusivity and long-term intentions.'. Given the above knowledge, translate the following sentence to Chinese: 'My friend and his fiancee went steady for more than a year before they decided to get engaged .'",我的朋友和他的未婚妻在决定订婚之前交往了一年多。,我的朋友和他的未婚妻在决定订婚之前交往稳固了一年多。,3,3,1,2
"There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .",cool as cucumber,"to remain calm and composed, especially in difficult situations","{
  ""English idiom"": ""cool as a cucumber"",
  ""English definition"": ""Very calm and composed, especially in a stressful situation."",
  ""Chinese idiom 1"": ""泰然自若"",
  ""Chinese idiom 2"": ""处之泰然"",
  ""Chinese idiom 3"": ""镇定自若""
}",泰然自若,"'cool as cucumber' means '泰然自若'. Given the above knowledge, translate the following sentence to Chinese: 'There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .'",他站在那里，泰然自若，完全不顾及已经破坏了社会结构的暴力。,他站在那里，泰然自若，对破坏了社会结构的暴力完全无动于衷。,2,3,3,3
This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . '',you can't make an omelette without breaking a few eggs,you cannot achieve something without causing some trouble or inconvenience,"{
    ""English idiom"": ""you can't make an omelette without breaking a few eggs"",
    ""English definition"": ""To achieve something important or make progress, it is inevitable that some sacrifices or unavoidable mistakes will occur."",
    ""Chinese idiom 1"": ""成大事者不拘小节"",
    ""Chinese idiom 2"": ""舍不得孩子套不住狼"",
    ""Chinese idiom 3"": ""不入虎穴，焉得虎子""
}",不入虎穴，焉得虎子,"'you can't make an omelette without breaking a few eggs' means '不入虎穴，焉得虎子'. Given the above knowledge, translate the following sentence to Chinese: 'This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . '''",这场马拉松需要你在饮食和锻炼计划中付出更多努力，因为不入虎穴，焉得虎子。,这次马拉松要求你在饮食和锻炼方面真正努力，因为不入虎穴，焉得虎子。,3,2,3,1
"Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . '",long run,"the future or ultimate outcome of a situation or decision, especially when considering its long-term effects","{
    ""English idiom"": ""long run"",
    ""English definition"": ""over a long period of time; eventually"",
    ""Chinese idiom 1"": ""长久之计"",
    ""Chinese idiom 2"": ""持之以恒"",
    ""Chinese idiom 3"": ""久久为功""
}",长久之计,"'long run' means '长久之计'. Given the above knowledge, translate the following sentence to Chinese: 'Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . ''",不要担心，刚开始员工可能会多收费，但从长远来看，你会支付更少。,不要担心，起初工作人员会向你多收费，但从长远来看，你会付得更少。,3,3,3,3
He 's too caught up in his own fashion sense .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,"```json
{
  ""English idiom"": ""catch up"",
  ""English definition"": ""To reach the same standard, stage, or level as others who are ahead; to make up for lost time."",
  ""Chinese idiom 1"": ""迎头赶上"",
  ""Chinese idiom 2"": ""亡羊补牢"",
  ""Chinese idiom 3"": ""后来居上""
}
```",迎头赶上,"'catch up' means '迎头赶上'. Given the above knowledge, translate the following sentence to Chinese: 'He 's too caught up in his own fashion sense .'",他太过于迷恋自己的时尚感。,他太沉迷于自己的时尚品味了。,3,3,3,3
"For most cannibals , blood is thicker than water .",blood is thicker than water,Family bonds are stronger than other social relationships,"{
  ""English idiom"": ""blood is thicker than water"",
  ""English definition"": ""Family relationships and loyalties are the strongest and most important ones."",
  ""Chinese idiom 1"": ""血浓于水"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",血浓于水,"'blood is thicker than water' means '血浓于水'. Given the above knowledge, translate the following sentence to Chinese: 'For most cannibals , blood is thicker than water .'",对于大多数食人族而言，血浓于水。,对于大多数食人族来说，血浓于水。,3,3,3,3
