Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !",not the sharpest tool in the shed,not very intelligent; lacking in intelligence,"Translate this sentence to Chinese: 'Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !'",她的新男友可能不是最聪明的，但他长得挺不错的!,她的新男朋友不是最聪明的，但他长得挺帅的！,2,2.0,3,2
He should not become the chairman of the committee as he has too many axes of his own to grind .,axe to grind,to have a personal motive or selfish reason for doing or promoting something,Translate this sentence to Chinese: 'He should not become the chairman of the committee as he has too many axes of his own to grind .',他不应该成为委员会的主席，因为他有太多自己的利益。,他不应该成为委员会的主席，因为他有太多自己的私心。,2,3.0,2,3
"Harry is a live wire ; we must invite him too , on a grand dinner tonight .",live wire,"an energetic, lively, or dynamic person","Translate this sentence to Chinese: 'Harry is a live wire ; we must invite him too , on a grand dinner tonight .'",哈里是一个活泼的人；今晚我们也必须邀请他参加一顿盛大的晚宴。,哈利是个精力充沛的人，我们今晚一定要请他参加盛大的晚宴。,2,3.0,2,3
I do n't give a damn of how you make it but you have to come to my party .,not give a damn,to not care at all; to have no interest or concern,Translate this sentence to Chinese: 'I do n't give a damn of how you make it but you have to come to my party .',我不在乎你如何做到，但你必须来参加我的派对。,我才不在乎你怎么做到的，但你必须来我的派对。,2,3.0,1,2
My friend and his fiancee went steady for more than a year before they decided to get engaged .,go steady,"to be in a romantic relationship with someone and have a commitment to each other, often characterized by exclusivity and stability",Translate this sentence to Chinese: 'My friend and his fiancee went steady for more than a year before they decided to get engaged .',我的朋友和他的未婚妻交往了一年多才决定订婚。,我的朋友和他的未婚妻在决定订婚之前交往了一年多。,3,3.0,1,1
"There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .",cool as cucumber,"to remain calm and composed, especially in difficult situations","Translate this sentence to Chinese: 'There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .'",他站在那里，冷静如黄瓜，完全不知道暴力已经摧毁了社会的根基。,他站在那里，冷静得像根黄瓜，完全没有察觉到已经撕裂社会结构的暴力事件。,3,3.0,1,1
This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . '',you can't make an omelette without breaking a few eggs,you cannot achieve something without causing some trouble or inconvenience,Translate this sentence to Chinese: 'This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . ''',这场马拉松需要你在饮食和锻炼计划上做出严格的调整，因为不摔碎几个鸡蛋是无法做出煎蛋卷的。,这场马拉松要求你在饮食和锻炼计划上加把劲，因为不打破几个鸡蛋是做不出煎蛋卷的。,3,3.0,3,3
"Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . '",long run,"the future or ultimate outcome of a situation or decision, especially when considering its long-term effects","Translate this sentence to Chinese: 'Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . ''",不用担心，刚开始员工会收取更多的费用，但从长远来看，您将支付更少。,别担心，最初工作人员会向你收取更多费用，但从长远来看，你会支付更少。,3,3.0,3,3
He 's too caught up in his own fashion sense .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,Translate this sentence to Chinese: 'He 's too caught up in his own fashion sense .',他太过于沉迷于自己的时尚品味。,他太沉迷于自己的时尚品味了。,3,3.0,3,3
"For most cannibals , blood is thicker than water .",blood is thicker than water,Family bonds are stronger than other social relationships,"Translate this sentence to Chinese: 'For most cannibals , blood is thicker than water .'",对于大多数食人族来说，血浓于水。,对大多数食人族来说，血浓于水。,3,3.0,3,3
They had met in their salad days and had fallen in love .,salad days,"refers to a period of youth, often associated with inexperience and innocence",Translate this sentence to Chinese: 'They had met in their salad days and had fallen in love .',他们在年少时相遇并相爱。,他们在年少轻狂时相遇并坠入了爱河。,3,3.0,2,3
People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other '',uncle Tom Cobley and all,a large or varied group of people or things; everyone and everything,Translate this sentence to Chinese: 'People these days have Uncle Tom Cobley and all in their friend list over social media and I wonder if they really talk or even know each other ''',现在的人们在他们的社交媒体好友列表中有着很多人，我不知道他们是真的在交流还是互相了解。,现如今人们在社交媒体上的好友列表里有很多不相关的人，我真不知道他们是否真的交流或彼此了解。,1,2.0,1,1
`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? '',made it,achieve success or reach a goal,Translate this sentence to Chinese: '`` I heard that you made a whole week without a single drop of alcohol and Isn 't that great ? ''',``我听说你整整一周都没有喝一滴酒，这不是很棒吗？'',我听说你一个星期滴酒未沾，这不是很棒吗？,3,3.0,3,3
They promised that they will leave no stone unturned to find the solution to the problem .,leave no stone unturned,to search or investigate every possible option or avenue,Translate this sentence to Chinese: 'They promised that they will leave no stone unturned to find the solution to the problem .',他们承诺不遗余力地寻找解决问题的办法。,他们承诺将竭尽全力找到解决问题的办法。,3,3.0,3,3
"The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .",toss-up,a situation in which the outcome is uncertain and equally likely,"Translate this sentence to Chinese: 'The final was going to be a toss-up between two evenly matched teams , both of which had equal chances of winning .'",决赛将是两支实力均势的球队之间的一场抛硬币比赛，他们都有同等的获胜机会。,决赛将是一场势均力敌的较量，两支队伍都有同样的获胜机会。,2,3.0,1,3
We were over the moon when we finally moved into our new house .,over the moon,extremely happy or delighted,Translate this sentence to Chinese: 'We were over the moon when we finally moved into our new house .',当我们最终搬进我们的新房子时，我们欣喜若狂。,当我们终于搬进新房子时，我们欣喜若狂。,3,3.0,3,3
"I am glad that you are enjoying your holiday , the best is yet to come .",the best is yet to come,better things are still to come in the future,"Translate this sentence to Chinese: 'I am glad that you are enjoying your holiday , the best is yet to come .'",我很高兴你正在享受假期，最好的还在后面。,我很高兴你在享受假期，最好的还在后面。,3,3.0,3,3
