Idiomatic_Sent,Original_Idiom,Original_Meaning,high_similarity_chinese_idioms,Chinese_Idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,Evaluation_KB_4,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !",not the sharpest tool in the shed,not very intelligent; lacking in intelligence,"笨头笨脑 (0.78), 聪明睿智 (0.72), 绝顶聪明 (0.70), 聪明智慧 (0.72)",笨头笨脑,"'not the sharpest tool in the shed' means '笨头笨脑'. Given the above knowledge, translate this sentence to Chinese: 'Her new boyfriend isn ’ t the sharpest tool in the shed , but he ’ s pretty good looking !'.",她的新男友虽然不是笨头笨脑，但是长得很帅！,她的新男朋友虽然笨头笨脑，但他长得很帅！,,2.0,3,1,3
He should not become the chairman of the committee as he has too many axes of his own to grind .,axe to grind,to have a personal motive or selfish reason for doing or promoting something,"私心杂念 (0.72), 一己之私 (0.70)",一己之私,"'axe to grind' means '一己之私'. Given the above knowledge, translate this sentence to Chinese: 'He should not become the chairman of the committee as he has too many axes of his own to grind .'.",他不应该成为委员会主席，因为他有太多的一己之私。,他不应该成为委员会的主席，因为他有太多一己之私。,,3.0,2,3,3
"Harry is a live wire ; we must invite him too , on a grand dinner tonight .",live wire,"an energetic, lively, or dynamic person","气贯长虹 (0.75), 龙飞凤舞 (0.72), 生动活泼 (0.71)",生动活泼,"'live wire' means '生动活泼'. Given the above knowledge, translate this sentence to Chinese: 'Harry is a live wire ; we must invite him too , on a grand dinner tonight .'.",Harry是个生动活泼的人；我们今晚也得邀请他参加盛大晚宴。,哈利是个生动活泼的人；我们今晚必须邀请他参加盛大的晚宴。,,2.0,2,3,3
I do n't give a damn of how you make it but you have to come to my party .,not give a damn,to not care at all; to have no interest or concern,"毫不在乎 (0.83), 满不在乎 (0.76)",毫不在乎,"'not give a damn' means '毫不在乎'. Given the above knowledge, translate this sentence to Chinese: 'I do n't give a damn of how you make it but you have to come to my party .'.",我不在乎你怎么做，但你必须来参加我的派对。,我毫不在乎你怎么做，但你必须来参加我的派对。,,2.0,3,2,3
My friend and his fiancee went steady for more than a year before they decided to get engaged .,go steady,"to be in a romantic relationship with someone and have a commitment to each other, often characterized by exclusivity and stability",,,"go steady' means 'to be in a romantic relationship with someone and have a commitment to each other, often characterized by exclusivity and stability'. Given the above knowledge, translate this sentence to Chinese: 'My friend and his fiancee went steady for more than a year before they decided to get engaged .'.",我朋友和他的未婚妻在决定订婚之前交往了一年多。,我的朋友和他的未婚妻在决定订婚之前交往了一年多。,,3.0,3,1,1
"There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .",cool as cucumber,"to remain calm and composed, especially in difficult situations","安之若素 (0.79), 平心静气 (0.77), 从容不迫 (0.78), 心平气和 (0.72), 泰然处之 (0.92), 泰然自若 (0.72), 神色自若 (0.76), 谈笑自若 (0.88), 好整以暇 (0.81), 不慌不忙 (0.82), 从容自若 (0.77), 坐怀不乱 (0.75), 坦然自若 (0.76), 纹风不动 (0.80), 从容自如 (0.95), 慢条斯礼 (0.72), 神闲气定 (0.77), 文风不动 (0.71)",从容不迫,"'cool as cucumber' means '从容不迫'. Given the above knowledge, translate this sentence to Chinese: 'There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .'.",他站在那里，从容不迫，完全不知道已经打破了社会的结构。,他站在那里，从容不迫，完全无视已经摧毁了社会结构的暴力。,,2.0,3,2,2
This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . '',you can't make an omelette without breaking a few eggs,you cannot achieve something without causing some trouble or inconvenience,"不入虎穴，焉得虎子 (0.73), 不避艰险 (0.74)",不入虎穴，焉得虎子,"'you can't make an omelette without breaking a few eggs' means '不入虎穴，焉得虎子'. Given the above knowledge, translate this sentence to Chinese: 'This marathon requires you to pick up some serious slack in your diet and exercise regime because you ca n't make an omelette without breaking a few eggs . '''.",这场马拉松需要你在饮食和锻炼计划中付出更多努力，因为不入虎穴，焉得虎子。,这场马拉松要求你在饮食和锻炼计划上做出重大调整，因为不入虎穴，焉得虎子。,,2.0,2,3,3
"Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . '",long run,"the future or ultimate outcome of a situation or decision, especially when considering its long-term effects","一念之差 (0.71), 深思远虑 (0.73)",深思远虑,"'long run' means '深思远虑'. Given the above knowledge, translate this sentence to Chinese: 'Do n't worry , initially the staff is going to charge you more but over the long run , you will be paying less . ''.",别担心，起初员工会收取更多费用，但长远来看，你将支付更少。,别担心，刚开始员工会多收你一些费用，但从长远来看，你会付得更少。,,3.0,3,3,3
He 's too caught up in his own fashion sense .,catch up,to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize,,,"catch up' means 'to reach or achieve the same level or position as someone or something that was previously ahead; to meet with someone to get updated or to socialize'. Given the above knowledge, translate this sentence to Chinese: 'He 's too caught up in his own fashion sense .'.",他太过于沉迷于自己的时尚感。,他太沉迷于自己的时尚品味了。,,3.0,3,3,3
"For most cannibals , blood is thicker than water .",blood is thicker than water,Family bonds are stronger than other social relationships,,,"blood is thicker than water' means 'Family bonds are stronger than other social relationships'. Given the above knowledge, translate this sentence to Chinese: 'For most cannibals , blood is thicker than water .'.",对于大多数食人族来说，血浓于水。,对于大多数食人族来说，血浓于水。,,3.0,3,3,3
