Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह का कड़वा होना,किसी बात से नाराज होना,To speak harshly,उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।,'Translate this sentence to English: 'उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।',"After hearing his harsh words, his mouth turned bitter.","""Hearing his bitter words made his mouth taste bitter.""",3,1,2,1
मुँह धुलना,किसी को सुधारना,To wash one's face,उसकी गलती पर उसे मुँह धुलवाया गया।,'Translate this sentence to English: 'उसकी गलती पर उसे मुँह धुलवाया गया।',He was made to wash his face for his mistake.,"""He was reprimanded for his mistake.""",1,1,3,1
मुँह में ताले डालना,चुप रहना,To keep one's mouth shut,उसने मेरी बातों पर मुँह में ताले डाल लिए।,'Translate this sentence to English: 'उसने मेरी बातों पर मुँह में ताले डाल लिए।',He kept mum on my words.,"""He clammed up and wouldn't respond to anything I said.""",3,2,3,3
मुँह चमकाना,प्रशंसा प्राप्त करना,To show off,अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।,'Translate this sentence to English: 'अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।',He always shines with good deeds.,He always boasts about his good deeds.,3,1,2,2
बिन बुलाए आना,बिना निमंत्रण के आना,To come uninvited,वह पार्टी में बिन बुलाए आ गया।,'Translate this sentence to English: 'वह पार्टी में बिन बुलाए आ गया।',He showed up at the party uninvited.,He came to the party uninvited.,3,3,3,3
मुँह पर विश्वास करना,किसी पर बहुत विश्वास करना,To trust someone's word,उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।,'Translate this sentence to English: 'उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।',He trusted his friend blindly and got betrayed.,He trusted his friend blindly and got betrayed.,3,2,3,2
मुँह में शहद चाटना,मीठी बातें करना,To flatter someone.,उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।,'Translate this sentence to English: 'उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।',He tried to butter up for his own benefit.,"""He tried to sweet-talk for his own benefit.""",3,3,3,3
मुँह से उगलना,सच बोलना,To confess,आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।,'Translate this sentence to English: 'आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।',"Finally, he blurted out that he was the one who had done all the work.","""Finally, he blurted out that he had done all the work.""",3,2,3,3
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize a matter,शादी की बात पक्की हो गई है।,'Translate this sentence to English: 'शादी की बात पक्की हो गई है।',The matter of marriage is final.,"""The marriage has been finalized.""",3,1,3,2
मुँह खोलना,चुप्पी तोड़ना,Speak up,सबके सामने उसने पहली बार मुँह खोला।,'Translate this sentence to English: 'सबके सामने उसने पहली बार मुँह खोला।',He spoke up for the first time in front of everyone.,He spoke up for the first time in front of everyone.,3,3,3,3
बहुत होशियार होना,चतुर होना,To be very clever,"वह बहुत होशियार है, सब काम ठीक से करता है।","'Translate this sentence to English: 'वह बहुत होशियार है, सब काम ठीक से करता है।'","He is very smart, he does all the work properly.",He is very smart; he does everything properly.,3,1,3,1
मुँह का पर्दा गिराना,सच्चाई उजागर करना,To reveal one's true intentions.,आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।,'Translate this sentence to English: 'आखिरकार उसने मुँह का पर्दा गिरा दिया और सब सच्चाई बता दी।',"Finally, he dropped the mask and told the truth.","Finally, he dropped the veil and revealed the whole truth.",3,3,3,3
मुँह सीना,बोलने से रोकना,Sew up one's mouth,उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।,'Translate this sentence to English: 'उसने अपने कर्मचारियों के मुँह सी दिए ताकि कोई विरोध न कर सके।',He bribed his employees so that no one could object.,He sewed his employees' mouths shut so that no one could protest.,3,1,3,2
मुँह में मिठास भरना,किसी की खुशी की वजह बनना,To sweeten someone's mouth,उसकी सफलता ने सभी के मुँह में मिठास भर दी।,'Translate this sentence to English: 'उसकी सफलता ने सभी के मुँह में मिठास भर दी।',His success has brought sweetness to everyone's mouth.,"""His success filled everyone's mouths with sweetness.""",3,1,2,1
मुँह बंद रखना,चुप रहना,Keep your mouth shut.,मामले को गंभीर समझकर उसने मुँह बंद रखा।,'Translate this sentence to English: 'मामले को गंभीर समझकर उसने मुँह बंद रखा।',"He kept his mouth shut, understanding the seriousness of the matter.","'Understanding the gravity of the matter, he kept his mouth shut.'",3,3,3,3
मुँह देखना,किसी की प्रतिक्रिया देखना,To rely on someone for support or approval.,मैंने उसकी बात पर मुँह देखा।,'Translate this sentence to English: 'मैंने उसकी बात पर मुँह देखा।',I turned a deaf ear to what he was saying.,"""I looked at him in astonishment.""",2,1,3,2
आपे से बाहर होना।,सामर्थ्य से अधिक क्रोध प्रकट करना।,To be out of control.,अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।,'Translate this sentence to English: 'अपने साथी की पिटाई का समाचार सुनते ही छात्र आपे से बाहर हो गए।',"Upon hearing news of his friend's beating, the student lost control.","""The students lost their temper as soon as they heard the news of their companion's beating.""",3,2,3,3
"बीती ताहि बिसार दे, आगे की सुधि ले",पिछले दुख को भूलकर आगे की सोचना,Forget the past and focus on the future.,"जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।","'Translate this sentence to English: 'जो हुआ सो हुआ, अब आगे की सोचो, बीती ताहि बिसार दे, आगे की सुधि ले।'","What happened has happened, now think about the future, forget the past, take care of the future.","""Whatever happened has happened, now think about the future, forget the past, and focus on what lies ahead.""",3,2,3,3
