Idiomatic_Sent,Original_Idiom,en_meaning,ai_generated_idioms,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。,千里迢迢,"over a long distance, a great journey","{
  ""Chinese idiom"": ""千里迢迢"",
  ""English definition"": ""To travel a long distance; to come from far away"",
  ""English idiom 1"": ""From far and wide"",
  ""English idiom 2"": ""Go the extra mile"",
  ""English idiom 3"": ""A long haul""
}",From far and wide,'千里迢迢' means 'From far and wide'. Given the above knowledge translate this sentence to English: '大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。',"The famous Cao Cao, also known as Cao Mengde, came from far and wide to the capital city, claiming to protect the emperor, sparking much discussion among the people.","""The renowned Cao Cao, also known as Cao Mengde, traveled from far and wide, arriving in the capital city tired and dusty, claiming repeatedly that he was there to protect the emperor, which sparked widespread discussion.""",3,3,1,2
他的做法虽然取得了一定效果，但其实投机取巧，不足为训。,不足为训,Not worth mentioning or not worth teaching,"{
  ""Chinese idiom"": ""不足为训"",
  ""English definition"": ""Not worth following as an example"",
  ""English idiom 1"": ""Not worth its salt"",
  ""English idiom 2"": ""Not worth the paper it's written on"",
  ""English idiom 3"": ""Not up to scratch""
}",Not worth the paper it's written on,'不足为训' means 'Not worth the paper it's written on'. Given the above knowledge translate this sentence to English: '他的做法虽然取得了一定效果，但其实投机取巧，不足为训。',"His approach, although achieving certain effects, is actually opportunistic and not worth the paper it's written on.","'Although his approach achieved certain results, it was actually opportunistic and not worth the paper it's written on.'",2,2,1,1
在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#,各色各样,various types; all sorts of,"```json
{
  ""Chinese idiom"": ""各色各样"",
  ""English definition"": ""All kinds of, various sorts of"",
  ""English idiom 1"": ""A variety of"",
  ""English idiom 2"": ""All shapes and sizes"",
  ""English idiom 3"": ""A mixed bag""
}
```",A variety of,'各色各样' means 'A variety of'. Given the above knowledge translate this sentence to English: '在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#',"On this blue planet, in distant places we have never seen, there exist a variety of people. Wherever there are people, no matter how small the corner, there are dreams. #GreenSong#","On this blue planet, in places we have never seen, a variety of people live; no matter how small the corner, where there are people, there are dreams. #GreenSong#",3,3,3,3
想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。,提纲挈领,to give a clear and concise summary or outline,"{
  ""Chinese idiom"": ""提纲挈领"",
  ""English definition"": ""To grasp the main point and outline"",
  ""English idiom 1"": ""Get to the heart of the matter"",
  ""English idiom 2"": ""Hit the nail on the head"",
  ""English idiom 3"": ""Cut to the chase""
}",Get to the heart of the matter,'提纲挈领' means 'Get to the heart of the matter'. Given the above knowledge translate this sentence to English: '想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。',"To finish reading a thick book in a short time, it is essential to get to the heart of the matter.","If you want to finish reading a thick book in a short time, getting to the heart of the matter is essential.",2,3,2,2
以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。,见利忘义,to forget one's principles or sense of loyalty when faced with personal gain,"{
  ""Chinese idiom"": ""见利忘义"",
  ""English definition"": ""To forget morality in the face of profit; to be driven by self-interest and forsake ethical considerations."",
  ""English idiom 1"": ""Sell one's soul"",
  ""English idiom 2"": ""Throw someone under the bus"",
  ""English idiom 3"": ""Every man for himself""
}",Sell one's soul,'见利忘义' means 'Sell one's soul'. Given the above knowledge translate this sentence to English: '以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。',"The Scottish Parliament's flaws and the British government's sell-out political strategy suggest that McGregor may be a beneficiary, but it would be wrong to release him, whether under the guise of humanitarianism or due to short-sighted political conspiracies.","With the flimsy pretexts of the Scottish devolution bodies and the opportunistic political strategies of the British government, it seems that Megrahi may be the beneficiary. However, releasing him is a mistake, whether justified by whitewashed humanitarian claims or short-sighted political conspiracies.",3,3,1,2
工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#,费尽心机,to use every trick in the book,"```json
{
  ""Chinese idiom"": ""费尽心机"",
  ""English definition"": ""to rack one's brains; to exhaust all mental efforts or schemes"",
  ""English idiom 1"": ""to bend over backwards"",
  ""English idiom 2"": ""to leave no stone unturned"",
  ""English idiom 3"": ""to pull out all the stops""
}
```",to leave no stone unturned,'费尽心机' means 'to leave no stone unturned'. Given the above knowledge translate this sentence to English: '工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#',"Work pressure, neglecting sleep and meals, reversing day and night, deceiving each other, leaving no stone unturned. Not only that, life sometimes finds itself in a state of neglect and stagnation. After repeated struggles in the material world, there remains a difficult-to-understand restlessness and loss when alone. #AnnieBaby#","Work pressure, forgetting to eat and sleep, day and night reversed, mutual deception, leaving no stone unturned. Moreover, life sometimes falls into a state of waste and stagnation. In the materialistic real world, after repeated ups and downs, what remains is a form of anxiety and loss that is difficult to understand when alone. #AnnieBaby#",2,3,3,2
我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。,天昏地暗,pitch darkness,"{
  ""Chinese idiom"": ""天昏地暗"",
  ""English definition"": ""A chaotic and turbulent situation, where everything seems to be in disarray."",
  ""English idiom 1"": ""All hell broke loose"",
  ""English idiom 2"": ""Pandemonium ensued"",
  ""English idiom 3"": ""Turned the world upside down""
}",All hell broke loose,'天昏地暗' means 'All hell broke loose'. Given the above knowledge translate this sentence to English: '我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。',"I rolled up my sleeves, brought the pot to the faucet, filled it with water, then unleashed the ""Tathagata palm"" with a move of ""reversing the universe,"" followed by ""all hell broke loose,"" and finally a ""heart-stirring."" After all that fuss, I was left ""panting like a bull.""","I rolled up my sleeves, brought the pot to the faucet, filled it with water, then used my 'Buddha's Palm' to unleash a 'Reversal of Heaven and Earth,' followed by 'All hell broke loose,' and finally finished with a 'Heart-rending Move.' After much effort, I was panting like an ox.",3,3,2,2
它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。,老气横秋,being old-fashioned and arrogant,"```json
{
    ""Chinese idiom"": ""老气横秋"",
    ""English definition"": ""The idiom '老气横秋' describes someone or something that appears old-fashioned, stodgy, or overly serious, often with an air of pretentiousness or self-importance. It can also imply a person who behaves in a manner that is overly mature or traditional for their age."",
    ""English idiom 1"": ""An old head on young shoulders"",
    ""English idiom 2"": ""Wise beyond their years"",
    ""English idiom 3"": """"
}
```",An old head on young shoulders,'老气横秋' means 'An old head on young shoulders'. Given the above knowledge translate this sentence to English: '它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。',"It does not wear gorgeous attire, only a plain and simple outfit. It has abandoned fantasies, but does not have an old head on young shoulders. The open and honest embrace of the hot cicadas, the carefree attitude towards lightning and thunderstorms, together form the unique character of summer. Look, she is always solid and bold, playing a heavy and significant role in the natural world.","'It does not boast a flamboyant appearance, only a lush green demeanor. It has cast aside illusions, yet does not display an old head on young shoulders. The candid openness of the cicadas’ buzz and the carefree splendor of lightning and rainstorms form the unique character of summer. See, it is always solid and bold, playing a significant and substantial role in nature.'",2,3,1,3
知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。,知难而进,have the courage to face difficulties and move forward,"```json
{
  ""Chinese idiom"": ""知难而进"",
  ""English definition"": ""To face difficulties and continue to advance; to advance despite knowing the difficulties ahead."",
  ""English idiom 1"": ""Bite the bullet"",
  ""English idiom 2"": ""Face the music"",
  ""English idiom 3"": ""Take the bull by the horns""
}
```",Bite the bullet,'知难而进' means 'Bite the bullet'. Given the above knowledge translate this sentence to English: '知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。',"The determination to bite the bullet, the spirit of perseverance, the courage to face challenges, practical solutions, and the ability to organize and coordinate.","""The determination to bite the bullet, the perseverance to keep at it, the boldness to tackle tough challenges, the feasible methods, and the organizational coordination skills.""",2,3,2,2
洪水过后，村子里的庄稼荡然无存了。,荡然无存,completely destroyed or wiped out,"{
  ""Chinese idiom"": ""荡然无存"",
  ""English definition"": ""Completely vanished; nothing left at all"",
  ""English idiom 1"": ""Gone with the wind"",
  ""English idiom 2"": ""Down the drain"",
  ""English idiom 3"": ""Vanished into thin air""
}",Gone with the wind,'荡然无存' means 'Gone with the wind'. Given the above knowledge translate this sentence to English: '洪水过后，村子里的庄稼荡然无存了。',"After the flood, the crops in the village were gone with the wind.","After the flood, the crops in the village were gone with the wind.",2,2,1,1
