Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。,千里迢迢,"over a long distance, a great journey",Translate this sentence to English: '大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。',"The renowned Cao Cao, also known as Cao Mengde, traveled a long and dusty journey to the capital, claiming to be there to protect the emperor, which sparked much discussion among the people.","The renowned Cao Cao, also known as Cao Mengde, traveled a great distance and arrived in the capital city, claiming repeatedly that he was there to protect the emperor, which led to widespread discussion.",3,3,2,2
他的做法虽然取得了一定效果，但其实投机取巧，不足为训。,不足为训,Not worth mentioning or not worth teaching,Translate this sentence to English: '他的做法虽然取得了一定效果，但其实投机取巧，不足为训。',"Although his approach has achieved some results, in fact, it is opportunistic and not worthy of emulation.","""Although his approach has had some effect, it is actually opportunistic and not worth emulating.""",3,3,3,3
在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#,各色各样,various types; all sorts of,Translate this sentence to English: '在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#',"On this blue planet, in the distant places we have never seen, there are all kinds of people, and wherever there are people, there are dreams. #GreenAlsoSings#","On this blue planet, in distant places we have never seen, live all kinds of people. No matter how small the corner, wherever there are people, there are dreams. #TheSongofGreen#",3,3,3,3
想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。,提纲挈领,to give a clear and concise summary or outline,Translate this sentence to English: '想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。',"To finish reading a thick book in a short period of time, it is necessary to read with a clear outline.","'If you want to finish reading a thick book in a short time, a skimming and scanning reading method is essential.'",2,2,1,1
以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。,见利忘义,to forget one's principles or sense of loyalty when faced with personal gain,Translate this sentence to English: '以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。',"It seems that Magrahi may be the beneficiary of Scotland's flawed devolution scheme and the UK government's opportunistic political strategy. However, it is wrong to release him, whether under the guise of humanitarianism or short-sighted political conspiracy.","Judging by the flawed excuses of the Scottish devolved institutions and the British government's opportunistic political strategies, al-Megrahi may have been a beneficiary. However, whether it is the humanitarian pretense to cover up the situation or the shortsighted political conspiracy, releasing him was a mistake.",3,3,2,2
工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#,费尽心机,to use every trick in the book,Translate this sentence to English: '工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#',"Work pressure, sacrificing sleep and meals, flipping day and night, engaging in deceitful schemes, exhausting mental efforts. Not only that, life sometimes falls into a state of neglect and stagnation. After repeated struggles in the material world, there remains a difficult-to-understand restlessness and loss when alone. #AnnieBaby#","Work pressure, forgetting to eat and sleep, day and night reversed, deceit and scheming, exhausting every effort. Not only that, life sometimes falls into a state of waste and stagnation. After repeated struggles in the material world, what remains is a kind of anxiety and loss that is hard to understand when alone. #AnnieBaby#",3,3,2,2
我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。,天昏地暗,pitch darkness,Translate this sentence to English: '我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。',"I rolled up my sleeves, brought the pot to the faucet, filled it with water, then used the ""Buddha's Palm"" technique to first perform the ""Reverse Universe"" move, followed by the ""Darkening Sky"" move, and finally the ""Stirring the Heartstrings"" move. After all that commotion, I was so exhausted that I was ""panting like a bull"".","I rolled up my sleeves, brought the pot to the faucet, filled it with water, then used the ""Buddha's Palm"" to give it a move called ""Reversing Heaven and Earth,"" followed by ""Darkening the Sky,"" and finally ""Soul-Stirring."" After all that effort, I was panting like an ox.",3,3,3,3
它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。,老气横秋,being old-fashioned and arrogant,Translate this sentence to English: '它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。',"It does not have gorgeous attire, only a body of greenery. It has abandoned illusions, yet remains vigorous. The openness of the hot cicada singing, the freedom of lightning and rain, together form the unique character of summer. Look, she is always solid and bold, interpreting a heavy and magnificent role in the natural world.","""It does not have a glamorous attire, only a lush green appearance. It has abandoned fantasies, yet it is not pretentious. The open-heartedness of the cicadas' hot buzzing, and the unrestrained nature of the lightning and rain, form the unique character of summer. You see, she is always solid and bold, playing a significant and substantial role in nature.""",3,2,2,2
知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。,知难而进,have the courage to face difficulties and move forward,Translate this sentence to English: '知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。',"The determination to face difficulties, the spirit of perseverance, the courage to overcome obstacles, practical solutions, and the ability to organize and coordinate.","The determination to face difficulties, the perseverance to keep going, the courage to tackle challenges, practical and feasible methods, and the ability to organize and coordinate.",3,3,2,2
洪水过后，村子里的庄稼荡然无存了。,荡然无存,completely destroyed or wiped out,Translate this sentence to English: '洪水过后，村子里的庄稼荡然无存了。',"After the flood, the crops in the village were completely destroyed.","""After the flood, the crops in the village were completely gone.""",3,3,3,2
