Idiomatic_Sent,Original_Idiom,en_meaning,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,"3,5_Evaluation_4o",4o_Evaluation_4o
大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。,千里迢迢,"over a long distance, a great journey",,,"'千里迢迢' means 'over a long distance, a great journey'. Given the above knowledge translate this sentence to English: 大名鼎鼎的曹操曹孟德千里迢迢、风尘仆仆地来到京城，口口声声说是来保护皇帝的，引得大家议论纷纷。.","The famous Cao Cao, also known as Cao Mengde, came over a great distance, in a travel-weary manner, to the capital city, repeatedly claiming to be there to protect the emperor, causing much discussion among the people.","The renowned Cao Cao, styled Mengde, traveled a long distance with great effort to the capital, repeatedly claiming he was there to protect the emperor, causing widespread discussion.",3,3,2.0,2
他的做法虽然取得了一定效果，但其实投机取巧，不足为训。,不足为训,Not worth mentioning or not worth teaching,,,'不足为训' means 'Not worth mentioning or not worth teaching'. Given the above knowledge translate this sentence to English: 他的做法虽然取得了一定效果，但其实投机取巧，不足为训。.,"His approach, while achieving certain results, is actually opportunistic and not worth teaching.","Although his approach achieved some results, it was actually opportunistic and not worth emulating.",2,3,2.0,2
在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#,各色各样,various types; all sorts of,,,'各色各样' means 'various types; all sorts of'. Given the above knowledge translate this sentence to English: 在这个蓝色的星球上，在我们没有见过的远方，生存着各色各样的人，无论再小的角落，有人的地方，就有梦想。 #绿亦歌#.,"On this blue planet, in the distant places we have not seen, there exist various types of people; wherever there are people, no matter how small the corner, there are dreams. #GreenSong#.","On this blue planet, in distant places we have never seen, there are all sorts of people living. No matter how small the corner, where there are people, there are dreams. #Lu Yige#.",3,3,3.0,3
想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。,提纲挈领,to give a clear and concise summary or outline,,,'提纲挈领' means 'to give a clear and concise summary or outline'. Given the above knowledge translate this sentence to English: 想要在短时间内把一本厚书看完，提纲挈领的阅读方式是必须的。.,"If you want to finish reading a thick book in a short period of time, it is necessary to read it in a clear and concise manner.","If you want to finish reading a thick book in a short amount of time, summarizing and outlining is essential.",2,3,1.0,1
以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。,见利忘义,to forget one's principles or sense of loyalty when faced with personal gain,sell _ soul to _ devil (0.75),sell _ soul to _ devil,'见利忘义' means 'sell _ soul to _ devil'. Given the above knowledge translate this sentence to English: 以苏格兰分权机构破绽百出的托辞和英国政府见利忘义的政治策略看来迈格拉希可能是受益者。但是无论是粉饰太平的人道主义说法还是缺乏远见的政治阴谋释放他都是错误的做法。.,"The Scottish government's excuses for flaws in its devolution structures and the British government's sell-soul-to-the-devil political strategies suggest that Magerahi may be a beneficiary. But whether through humanitarian propaganda or short-sighted political schemes, releasing him is still the wrong move.","From the flawed pretexts of Scotland's devolved institutions and the British government's opportunistic political strategies, it seems that al-Megrahi might be the beneficiary. However, whether it is the whitewashing humanitarian claims or the shortsighted political conspiracy, releasing him was a mistake.",2,3,1.0,2
工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#,费尽心机,to use every trick in the book,,,'费尽心机' means 'to use every trick in the book'. Given the above knowledge translate this sentence to English: 工作压力，废寝忘食，日夜颠倒，尔虞我诈，费尽心机。不仅如此，生命有时处于一种荒废和停滞之中。物质的现实世界，反复颠扑之后，剩余下独处时难明的一种焦躁和失落。 #安妮宝贝#.,"The pressure of work, sacrificing sleep and meals, flipping day and night, playing tricks on each other, using every trick in the book. Not only that, sometimes life is in a state of wastefulness and stagnation. After repeated struggles in the material world, what remains is a restless and lost feeling during solitary moments. #AnnieBaobei#.","Work pressure, going without sleep or food, reversing day and night, plotting against each other, using every trick in the book. Not only that, life is sometimes in a state of waste and stagnation. After repeatedly tumbling through the material world, what remains is an inexplicable anxiety and loss when alone. #Annie Baby#",3,3,2.0,3
我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。,天昏地暗,pitch darkness,,,'天昏地暗' means 'pitch darkness'. Given the above knowledge translate this sentence to English: 我捋起袖口，将锅凑到水龙头，冲满水，然后张开“如来神掌”先给它来一招“倒转乾坤”，再来招“天昏地暗”，最后来个“荡气回肠”。一番折腾，累得我“气喘如牛”。.,"I roll up my sleeves, fill the pot with water at the faucet, and perform the ""Buddha's Palm"" technique on it, starting with the ""Reverse the Universe"" move, followed by ""Pitch Darkness"", and ending with ""Stirring the Heart and Spleen"". After all that fuss, I am exhausted and panting like a bull.","I rolled up my sleeves, brought the pot to the faucet, filled it with water, and then used the “Buddha's Palm” to deliver a move called “Reversing the Universe,” followed by “Pitch Darkness,” and finally “Soul-Stirring.” After all that effort, I was left “panting like a bull.”",3,3,1.0,3
它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。,老气横秋,being old-fashioned and arrogant,give airs (0.74),give airs,'老气横秋' means 'give airs'. Given the above knowledge translate this sentence to English: 它没有华丽的艳装，只彼一身的葱茏。它已抛弃了幻想，却未老气横秋。那燥热蝉鸣的坦怀，那闪电暴雨的洒脱，便构成了夏日特有的性格。你看，她总是坚实而豪放，在自然界中演绎着一个沉重而卓大不空的角色。.,"It does not have gorgeous and flashy clothes, only a simple and elegant appearance. It has abandoned illusions, but it has not become affected and old-fashioned. The hot cicada singing with the sound of thunderstorm, the freedom of lightning and rain, all constitute the unique personality of summer. You see, she is always solid and bold, playing a heavy and magnificent role in the natural world.","It does not wear flashy and bright clothing, just a body of lush green. It has abandoned illusions, yet does not give airs. The frankness of the cicada's hot hum, the free spirit of the lightning and rain, all form the unique character of summer. You see, she is always solid and bold, playing a heavy and extraordinary role in nature.",2,3,1.0,2
知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。,知难而进,have the courage to face difficulties and move forward,bite the bullet (0.75),bite the bullet,'知难而进' means 'bite the bullet'. Given the above knowledge translate this sentence to English: 知难而进的决心，锲而不舍的精神，攻坚破难的魄力，切实可行的办法，组织协调的本领。.,"The determination to bite the bullet, the spirit of perseverance, the courage to break through difficulties, practical solutions, and organizing coordination skills.","The determination to bite the bullet, the perseverance to never give up, the courage to tackle difficult challenges, the feasible methods, and the organizational and coordination skills.",2,3,2.0,2
洪水过后，村子里的庄稼荡然无存了。,荡然无存,completely destroyed or wiped out,,,'荡然无存' means 'completely destroyed or wiped out'. Given the above knowledge translate this sentence to English: 洪水过后，村子里的庄稼荡然无存了。.,"After the flood, the crops in the village were completely destroyed.","After the flood, the crops in the village were completely wiped out.",3,3,3.0,3
