Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,ai_generated_idioms,English_Idiom,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह का कड़वा होना,किसी बात से नाराज होना,To speak harshly,उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।,"```json
{
  ""Hindi idiom"": ""मुँह का कड़वा होना"",
  ""English definition"": ""To speak bitter or harsh words, often out of frustration or anger."",
  ""English idiom 1"": ""To give someone a piece of your mind"",
  ""English idiom 2"": ""To speak one's mind"",
  ""English idiom 3"": ""To air grievances""
}
```",,To give someone a piece of your mind,"'मुँह का कड़वा होना' means 'To give someone a piece of your mind'. Given the above knowledge, translate this sentence to English: 'उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।'","After hearing his bitter words, he decided to give him a piece of his mind.","""Listening to his harsh words, he gave him a piece of his mind.""",2,1,1,1
मुँह धुलना,किसी को सुधारना,To wash one's face,उसकी गलती पर उसे मुँह धुलवाया गया।,"```json
{
  ""Hindi idiom"": ""मुँह धुलना"",
  ""English definition"": ""To feel ashamed or embarrassed due to some mistake or wrongdoing."",
  ""English idiom 1"": ""To eat humble pie"",
  ""English idiom 2"": ""To have egg on one's face"",
  ""English idiom 3"": ""To be put in one's place""
}
```",,To have egg on one's face,"'मुँह धुलना' means 'To have egg on one's face'. Given the above knowledge, translate this sentence to English: 'उसकी गलती पर उसे मुँह धुलवाया गया।'",He was made to have egg on his face for his mistake.,"""He was made to have egg on his face for his mistake.""",3,3,3,3
मुँह में ताले डालना,चुप रहना,To keep one's mouth shut,उसने मेरी बातों पर मुँह में ताले डाल लिए।,"```json
{
  ""Hindi idiom"": ""मुँह में ताले डालना"",
  ""English definition"": ""To remain silent or not to speak, especially when expected to say something."",
  ""English idiom 1"": ""Button one's lip"",
  ""English idiom 2"": ""Hold one's tongue"",
  ""English idiom 3"": ""Keep mum""
}
```",,Button one's lip,"'मुँह में ताले डालना' means 'Button one's lip'. Given the above knowledge, translate this sentence to English: 'उसने मेरी बातों पर मुँह में ताले डाल लिए।'",He buttoned his lip on my words.,"""He buttoned his lip on my words.""",2,3,2,2
मुँह चमकाना,प्रशंसा प्राप्त करना,To show off,अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।,"```json
{
  ""Hindi idiom"": ""मुँह चमकाना"",
  ""English definition"": ""To show or pretend to be happy or satisfied, often to impress others or hide one's true feelings."",
  ""English idiom 1"": ""Put on a brave face"",
  ""English idiom 2"": ""Keep up appearances"",
  ""English idiom 3"": ""Grin and bear it""
}
```",,Keep up appearances,"'मुँह चमकाना' means 'Keep up appearances'. Given the above knowledge, translate this sentence to English: 'अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।'",He always keeps up appearances with his good deeds.,"""He always keeps up appearances with good deeds.""",2,2,2,2
बिन बुलाए आना,बिना निमंत्रण के आना,To come uninvited,वह पार्टी में बिन बुलाए आ गया।,"```json
{
  ""Hindi idiom"": ""बिन बुलाए आना"",
  ""English definition"": ""To come uninvited or to show up without being asked or expected."",
  ""English idiom 1"": ""Gatecrash"",
  ""English idiom 2"": ""Show up out of the blue"",
  ""English idiom 3"": """"
}
```",,Gatecrash,"'बिन बुलाए आना' means 'Gatecrash'. Given the above knowledge, translate this sentence to English: 'वह पार्टी में बिन बुलाए आ गया।'",He gatecrashed the party.,He gatecrashed the party.,3,3,3,3
मुँह पर विश्वास करना,किसी पर बहुत विश्वास करना,To trust someone's word,उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।,"{
    ""Hindi idiom"": ""मुँह पर विश्वास करना"",
    ""English definition"": ""To trust someone's words or appearance without verifying the truth or facts."",
    ""English idiom 1"": ""Take at face value"",
    ""English idiom 2"": ""Believe at first glance"",
    ""English idiom 3"": ""Trust blindly""
}",,Take at face value,"'मुँह पर विश्वास करना' means 'Take at face value'. Given the above knowledge, translate this sentence to English: 'उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।'",He trusted his friend at face value and got betrayed.,He took his friend at face value and got betrayed.,3,2,3,3
मुँह में शहद चाटना,मीठी बातें करना,To flatter someone.,उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।,"```json
{
  ""Hindi idiom"": ""मुँह में शहद चाटना"",
  ""English definition"": ""To speak sweetly or flatteringly, often with an intent to deceive or gain favor."",
  ""English idiom 1"": ""Butter someone up"",
  ""English idiom 2"": ""Sweet-talk"",
  ""English idiom 3"": ""Sugarcoat""
}
```",,Butter someone up,"'मुँह में शहद चाटना' means 'Butter someone up'. Given the above knowledge, translate this sentence to English: 'उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।'",He tried to butter someone up for his benefit.,"""He tried to butter someone up for his own benefit.""",3,3,3,3
मुँह से उगलना,सच बोलना,To confess,आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।,"```json
{
  ""Hindi idiom"": ""मुँह से उगलना"",
  ""English definition"": ""To force someone to reveal a secret or information that they are unwilling to disclose."",
  ""English idiom 1"": ""Spill the beans"",
  ""English idiom 2"": ""Let the cat out of the bag"",
  ""English idiom 3"": ""Sing like a canary""
}
```",,Sing like a canary,"'मुँह से उगलना' means 'Sing like a canary'. Given the above knowledge, translate this sentence to English: 'आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।'","Finally, he spilled the beans that he was the one who did all the work.","""Finally, he sang like a canary that he had done all the work.""",3,3,2,3
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize a matter,शादी की बात पक्की हो गई है।,"```json
{
  ""Hindi idiom"": ""बात पक्की करना"",
  ""English definition"": ""To finalize or confirm an agreement or decision"",
  ""English idiom 1"": ""Seal the deal"",
  ""English idiom 2"": ""Put it in writing"",
  ""English idiom 3"": ""Tie up the loose ends""
}
```",,Seal the deal,"'बात पक्की करना' means 'Seal the deal'. Given the above knowledge, translate this sentence to English: 'शादी की बात पक्की हो गई है।'",The marriage deal has been sealed.,"""The marriage has been fixed.""",3,2,3,2
मुँह खोलना,चुप्पी तोड़ना,Speak up,सबके सामने उसने पहली बार मुँह खोला।,"```json
{
  ""Hindi idiom"": ""मुँह खोलना"",
  ""English definition"": ""To speak up or reveal information, often used in contexts where someone has been silent or reluctant to speak."",
  ""English idiom 1"": ""Open one's mouth"",
  ""English idiom 2"": ""Speak out"",
  ""English idiom 3"": ""Break one's silence""
}
```",,Break one's silence,"'मुँह खोलना' means 'Break one's silence'. Given the above knowledge, translate this sentence to English: 'सबके सामने उसने पहली बार मुँह खोला।'",He broke his silence for the first time in front of everyone.,"""He broke his silence in front of everyone for the first time.""",3,3,3,3
