Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह का कड़वा होना,किसी बात से नाराज होना,To speak harshly,उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।,bite someone's head off (0.77),bite someone's head off,"'मुँह का कड़वा होना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसकी कड़वी बात सुनकर उसका मुँह का कड़वा हो गया।'","After hearing his harsh words, she bit his head off.","""Hearing his bitter words, he bit his head off.""",1,1,1,1
मुँह धुलना,किसी को सुधारना,To wash one's face,उसकी गलती पर उसे मुँह धुलवाया गया।,,,"'मुँह धुलना' means 'To wash one's face'. Given the above knowledge, translate this sentence to English: 'उसकी गलती पर उसे मुँह धुलवाया गया।'",He was made to wash his face for his mistake.,"""He was humiliated for his mistake.""",1,1,3,2
मुँह में ताले डालना,चुप रहना,To keep one's mouth shut,उसने मेरी बातों पर मुँह में ताले डाल लिए।,,,"'मुँह में ताले डालना' means 'To keep one's mouth shut'. Given the above knowledge, translate this sentence to English: 'उसने मेरी बातों पर मुँह में ताले डाल लिए।'",He kept his mouth shut on my words.,He kept his mouth shut about what I said.,3,3,3,3
मुँह चमकाना,प्रशंसा प्राप्त करना,To show off,अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।,,,"'मुँह चमकाना' means 'To show off'. Given the above knowledge, translate this sentence to English: 'अच्छे कामों से वह हमेशा मुँह चमकाता रहता है।'",He always shows off with his good deeds.,"""He always shows off with good deeds.""",2,2,2,2
बिन बुलाए आना,बिना निमंत्रण के आना,To come uninvited,वह पार्टी में बिन बुलाए आ गया।,,,"'बिन बुलाए आना' means 'To come uninvited'. Given the above knowledge, translate this sentence to English: 'वह पार्टी में बिन बुलाए आ गया।'",He came to the party uninvited.,He came to the party uninvited.,3,3,3,3
मुँह पर विश्वास करना,किसी पर बहुत विश्वास करना,To trust someone's word,उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।,"count on (0.76), take it from me (0.76)",count on,"'मुँह पर विश्वास करना' means 'count on'. Given the above knowledge, translate this sentence to English: 'उसने अपने दोस्त पर मुँह पर विश्वास किया और धोखा खा गया।'",He counted on his friend and was betrayed.,He counted on his friend and got betrayed.,3,1,3,1
मुँह में शहद चाटना,मीठी बातें करना,To flatter someone.,उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।,,,"'मुँह में शहद चाटना' means 'To flatter someone.'. Given the above knowledge, translate this sentence to English: 'उसने अपने हित के लिए मुँह में शहद चाटने की कोशिश की।'",He tried to flatter for his own benefit.,"""He tried to flatter for his own benefit.""",3,2,3,2
मुँह से उगलना,सच बोलना,To confess,आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।,"come clean (0.76), eat humble pie (0.74), make a clean breast of (0.77)",come clean,"'मुँह से उगलना' means 'come clean'. Given the above knowledge, translate this sentence to English: 'आखिरकार उसने मुँह से उगल ही दिया कि सारा काम उसने ही किया था।'","Finally, he came clean that he was the one who did all the work.","""Finally, he came clean that he had done all the work.""",3,3,3,3
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize a matter,शादी की बात पक्की हो गई है।,,,"'बात पक्की करना' means 'To finalize a matter'. Given the above knowledge, translate this sentence to English: 'शादी की बात पक्की हो गई है।'",The marriage matter has been finalized.,"""The marriage has been finalized.""",3,1,3,3
मुँह खोलना,चुप्पी तोड़ना,Speak up,सबके सामने उसने पहली बार मुँह खोला।,,,"'मुँह खोलना' means 'Speak up'. Given the above knowledge, translate this sentence to English: 'सबके सामने उसने पहली बार मुँह खोला।'",He spoke up for the first time in front of everyone.,He spoke up for the first time in front of everyone.,3,2,3,3
