id,idiom,en_meaning,zh_meaning,ja_meaning
1,"1 o'clock ""sharp""",punctually at 1 o'clock; being exactly on time,1点整,厳密に1時に
2,Bob's your uncle,used to mean that something will be successful or easy to achieve,完事了,簡単な手順で問題が解決する
3,Dutch courage,"false courage or bravery, often gained from consuming alcohol",酒后虚勇；靠酒壮胆,オランダの勇気
4,Hand something to someone on a silver platter,to give or provide something to someone very easily or without any effort or struggle on their part,毫不费力地提供某物给某人；毫无努力地给某人提供某种机会或好处,手渡すことなく簡単に何かを提供する
5,Hobson's choice,a situation in which you are given no real choice at all,只能接受或拒绝，没有真正的选择,取るべき選択肢が存在しない状況で迫られる選択
6,I'll eat my hat,"an expression of disbelief or doubt, often used when someone makes a statement that seems unlikely or impossible",我将吃掉我的帽子,絶対にないこと
7,Indian summer,"a period of unusually warm, sunny weather in the autumn or early winter",老人温暖的日子；金秋时节,秋口に訪れる予期しない暖かい天候
8,Jekyll and Hyde,"someone with two distinct personalities, one good and one evil",在不同情况下或对不同人展示完全不同的性格或行为,二重人格や表裏のある性格
9,Pyrrhic victory,a victory that comes at such a great cost that it is ultimately a loss or defeat,费力不讨好的胜利,短期的には勝利を収めたが、長期的には大きな損失をもたらした勝利
10,_ place in _ sun,to have one's desired or deserved position or recognition,在某个领域中处于理想或有利的位置,功績や成功の場所
11,_ word is law,"to emphasize the authority, importance, or unquestionable nature of something or someone's statement or decision",一人的话是法律,影響力のある人の言葉が絶対である
12,a bad break,an unfortunate or unfair circumstance or event,倒霉的遭遇或不幸事件,運悪く、不運な出来事
13,a bad hair day,an unpleasant or difficult day; a day when everything seems to go wrong,一个情绪不好或运气不佳的日子,体調が悪い日; ついていない日
14,a bad workman always blames his tools,someone who is unable to do their job well will always find an excuse or scapegoat for their own failings,拙匠 怨 工具,技術不足を隠すために道具を責める人はいつもそうである
15,a bed of roses,an easy or comfortable situation,一切都很容易或很愉快的情况,楽な状況や快適な生活
16,a big ask,something that is difficult or demanding to achieve or obtain,要求过于苛刻或困难，难以实现,困難な要求、期待、または仕事
17,a bigger bang for your buck,"getting a greater value, benefit, or outcome in relation to the amount of money or effort invested",用少量的花费获得更多的回报,より多くの価値を得るための投資
18,a bird in the hand is worth two in the bush,"it is better to hold onto something that you have for certain, than to risk losing it by trying to get something better",手中之鸟胜过林中两鸟,一石二鳥より、信頼のある一つの選択が価値がある
19,a bit much,excessive or unreasonable; more than one can handle or tolerate,过分或太过,やりすぎ
20,a bit of fluff,"a person, especially a woman, who is considered to be attractive but not very intelligent or interesting",一个没用的人或物，特别是指与某人有短暂而不重要的感情关系的人,取るに足りない、重要性の乏しいもの
21,a bite to eat,a small meal or snack; something to eat,吃点东西,軽食、軽い食事
22,a blessing in disguise,"something that seems bad or unlucky at first, but turns out to be beneficial in the end",因为一开始看起来不好但最终带来好处或积极结果的事情,思いがけない良いこと
23,a breath of fresh air,"something or someone that is refreshing and new, providing a different and positive perspective or experience",一股清新的风,新鮮な空気を感じること、新しい、刺激的なものを経験すること
24,a bull and cow,a couple; a pair,争吵或冲突的夫妻,男性と女性のカップル
25,a bunch of fives,a forceful punch or hit with a closed fist,一拳,拳で殴ること
26,a burnt child dreads the fire,someone who has been hurt or had a bad experience is extra cautious to avoid similar situations in the future,一朝被蛇咬，十年怕草绳,過去に嫌な経験をしたので、同じような状況や事態を避けようとする
27,a chip on your shoulder,to have a grudge or to be easily angered or offended,怨气，自卑感或敌意，常常准备对挑战或争执做出强烈反应,自分自身に対する敵意や怒りの感情を持っている
28,a clean bill of health,"official or formal statement confirming that someone or something is healthy, in good condition, or free from any negative or harmful factors",健康证明，表示一个人没有任何健康问题或疾病的证明,体の健康を宣言されること。何かを根本的に修正し、問題がないことを確認すること。
29,a cut above,of higher quality or better than average,比其他人优秀或高出一筹,一段上のレベルで優れている
30,a diamond in the rough (a.k.a rough diamond ),"someone or something with potential, but lacking refinement or polish",一个有潜力但仍然需要发掘和磨练的人或物,見かけによらず価値のあるもの
31,a dime a dozen,something that is very common or easy to obtain,非常普遍或容易得到的；无价值或不重要的,安いもの、非常に一般的なもの
32,a dime's worth,a very small or insignificant amount; something of little value or importance,微不足道的价值或数量,微々たる価値
33,a dish fit for the gods,an exceptionally delicious or impressive dish,非常美味或诱人的食物,神々にふさわしい料理
34,a doubting Thomas,"someone who is skeptical or doubtful, particularly in regards to religious matters",一个对事情持怀疑态度或需要很多证据才会相信的人,疑い深い人
35,a drop in the bucket (or ocean),something that is very small or insignificant in comparison to something much larger or more significant,杯水车薪，只是微不足道的贡献,ごくわずかな貢献や影響力しかない
