id,idiom,en_meaning,zh_meaning,ja_meaning
1,一波未平，一波又起,"as soon as one problem is solved, another arises",一个问题还没解决，另一个问题又出现了,一つの問題やトラブルが解決されると、別の問題やトラブルが起こる。
2,一败涂地,being utterly defeated or experiencing a complete failure,比喻遭到彻底失败，一片狼藉,完全に敗北して、絶望的な状況になる
3,一般见识,limited knowledge or experience,平常的才能，常见的见解,普通の知識や経験に基づいた見識や洞察力。
4,一板三眼,meticulous and strict in one's work or behavior,形容人严肃认真，要求严厉。,厳しい目つきで物事を見る
5,一本正经,to be serious and earnest,表现得很认真和庄重,真面目に取り組む様子や態度を指す
6,一本万利,making a huge profit with minimal effort or investment,本钱少却能产生许多利润,最初の投資に比べて収益が非常に高く、その利益が次第に倍増していくこと
7,一笔抹杀,to completely eliminate or belittle something with a single stroke,彻底取消或忘记，不再考虑,全てを一瞬にして消し去ること。
8,一笔勾销,to completely cancel or invalidate something,取消，废除某个事物,全てを一度に解決して終わらせる
9,一鼻孔出气,to have the same viewpoint or opinion,形容彼此的观点和行为非常一致，没有分歧。,同じ考えや立場の人とだけつるむこと。
10,一臂之力,a helping hand,指少数人所能做到的或自己做得到的,一腕の力
11,一步登天,to achieve rapid success or rise to a high position in one step,指一下子就达到很高的地位或水平,一日で成功すること。急速に出世すること。
12,一不做，二不休,"not doing something halfway, but instead taking decisive action; not stopping until the goal is achieved",如果不能做 A，那就只好做 B，再不行就采取更激烈的行动,やらないことはない、やるならば徹底的にやる
13,一拍即合,"to reach an agreement or make a decision quickly and easily, without much discussion or hesitation",形容双方意见、感情等迅速一致，毫不费力就达成一致。,一瞬で意見や感覚を合わせる
14,一抔黃土,"a small amount of effort or contribution, often referring to a person's minimal or insignificant contribution","形容个别人或事物所能带来的微小作用, 像一抔黃土一样微不足道",微々たる存在、些細な出来事
15,一盘散沙,a group of people with no unity or cohesion,指人们没有团结在一起，各自为政，没有统一的意见或行动,統一的な組織や集団がなく、結束がない状態
16,一贫如洗,"extremely poor, having nothing at all",形容非常贫穷，一无所有,非常に貧しく、何も持っていない
17,一曝十寒,go from one extreme to another,指一个人经常不能坚持到底，不懂得稳定，经不起挫折,一度晒されて、十度冷たい目に遭う
18,一模一样,identical; exactly the same,形容事物完全一样，没有任何差别,まったく同じ、見分けがつかない
19,一马当先,taking the lead or being in the forefront,To be the first one to lead and take the initiative,先陣を切って進むこと。リーダーシップを発揮して先頭に立つこと。
20,一马平川,"a flat and smooth road ahead, without any obstacles or difficulties",形容地势平坦，没有障碍物。,全くの平坦な土地、道路のたとえ。何も邪魔がなく、障害物もなくスムーズに進むこと。
21,一脉相承,pass down from generation to generation,形容事物、思想等沿袭延续，互相补充、发展,古い伝統や技術が新しいものに継承される
22,一毛不拔,stingy or unwilling to spend even a single cent,形容非常吝啬，一点儿也不肯给别人或帮助别人,一文も惜しまずに寄付することなく、けちなこと
23,一面之词,one-sided account; only one person's testimony,只听到一方的陈述，没有听到另一方的陈述,一方的な主張
24,一面之交,an acquaintance that is only superficial or limited to a single encounter,泛指关系非常浅薄的人,ある特定の場面や関係の中での付き合いだけで、本質的なつながりはない
25,一鸣惊人,making a remarkable achievement with one brilliant performance,指一个人在某一方面突然表现出色，引起人们的关注和惊讶,一度目立った成果を上げて驚かせること。また、一度目に見られて印象づけること。
26,一命呜呼,"to die, to lose one's life",死亡；临终前发出的最后一声叹息,命を落とすこと。死ぬこと。
27,一目了然,clear at a glance,十分清楚，一眼就能看得明白,一目ですぐにわかる
28,一目十行,"to read at a fast pace, able to skim through and comprehend large amounts of text quickly",快速地阅读，每次一眼就能看清整体,一目で十行分の内容を理解することができる
29,一发千钧,a very powerful and influential person,形容事物威力巨大，势不可挡,非常に重要で、少しの力でも大きな影響を与えること。
30,一帆风顺,"smooth sailing, everything goes well",遇到顺利的事情，一帆风顺的意思,すべてが順調に進むこと
31,一反常态,to act contrary to one's usual behavior,与平时的表现相反，完全改变原来的态度或行为,常識から逸脱した行動や態度を取ること
32,一得之功,benefiting from a single action or effort,做一件小事就得到了巨大的成功,一時の利益や成功
33,一得之愚,"limited understanding or knowledge in a specific area, only having a superficial grasp of something",指人的心眼儿里只有一件事、一种情况的愚昧态度；指对一件事只有一种看法、一种办法的狭隘态度,簡単な答えや解決策を見つけることができる愚かさ
34,一刀两断,make a clean break; decisively end a relationship or situation,断绝关系，不留余地,断絶する／一線を引く
35,一塌刮子,a complete mess,一切都毁灭殆尽，一片凌乱的样子,全てが台無しになる
36,一塌糊涂,"a complete mess or chaos, in a state of total disorder",形容事情混乱、无法收拾或处理不当,あらゆる面で乱れや混乱が起き、まとまりのない状態になること
37,一潭死水,a stagnant situation with no progress or development,比喻事物不活跃，没有生气或活力,停滞した、活気のない状態
38,一团和气,"harmonious and friendly atmosphere, everyone getting along with each other",形容人和睦、融洽，气氛友好的样子,和やかで友好的な雰囲気。みんなが仲良く協力する。
39,一念之差,a small difference in thought or decision that has significant consequences,因为一念之差而产生的不同结果或后果,僅かな心の変化による大きな結果の違い
40,一诺千金,a promise that is incredibly valuable and can be trusted; a promise that is worth a thousand pieces of gold,承诺非常重要，一旦承诺就如同千金一般宝贵。形容信用极高，言行一致。,約束が非常に価値があり、守られるべきであること。
41,一劳永逸,to solve a problem or complete a task once and for all,一次努力就可以解决问题，不需要再次付出努力,一度の努力で一生のうちにやらなければならないことをすべてやり終える
42,一览无余,"to see everything in a glance, leaving nothing hidden or unknown",形容东西全部毫无缺漏地显露出来,一目瞭然
43,一了百了,"kill two birds with one stone, solve a problem completely",解决了一个问题，其他问题也随之解决了,全部の問題を一つ解決することによって、他の問題も全て解決すること
44,一鳞半爪,a tiny bit; a small part,形容只有一点儿东西，比喻仅有些微不足道的实力或成就,ごくわずかな証拠や兆候しかない
45,一路平安,wishing someone a safe journey,安全无事，一帆风顺,旅行や出発の際に、無事に目的地に到着することを祈っている
46,一落千丈,"a sudden and dramatic decline in status, ability, or performance",形容情况或地位突然下降得很快，非常厉害,一気に地に落ちる
47,一改故辙,to break with tradition and try a different approach,改变原有的做法或方法,固定観念や慣習を打破し、新しい方法やアプローチを取る
48,一概而论,to generalize and judge a situation or a group of things based on a single characteristic or aspect,对一切都一概地、笼统地加以评价、断定,一括して判断する
49,一干二净,completely and thoroughly,完全地，彻底地,完全に、徹底的に
50,一鼓作气,make a determined effort in one go,指一口气连续加到，势如奔腾的气势,一気に勇気づけること
51,一国三公,"""separation of powers"" or ""three branches of government"" in a country.",比喻国家的权力分为行政、立法、司法三个部门，相互制约、互相独立,国家の三大官職（皇帝、宰相、将軍）のことで、それぞれの役目を分担して国を運営すること。
52,一棍子打死,To generalize and make a hasty judgment based on one incident or characteristic,过于极端地打击或批评一个人或一件事情,一撃で倒す
53,一刻千金,extremely precious or valuable time,时间非常宝贵，每一刻都极为重要,瞬間的な価値が非常に高い。時間を大切にする。
54,一孔之见,a narrow-minded viewpoint; a biased perspective,狭隘的见解或观点，只懂得一点点,片一つの穴しかないことで、視野が狭く、浅はかな見方をすること。
55,一哄而散,disperse or scatter in a sudden and disorderly manner,形容人们一起聚集很热闹，但很快又散开了,一緒に騒いでいた人々が一斉に散ってしまう
56,一呼百诺,to promise to fulfill someone's request or command immediately,形容喊一声，百万人都答应做,一つの声で、多くの人が従うこと。
57,一呼百应,one call and a hundred respond,形容一个人一出声，就有许多人回应他的呼叫，表示声势浩大，大家都支持他,一声の呼びかけで、多くの人が応答すること
58,一挥而就,to complete a task effortlessly and quickly with a single gesture,形容工作或写作等事情快速、轻松地完成,一振りでやってしまう
59,一技之长,a skill or expertise in a particular area,指某一种专门的技能或特长,特定の技術や知識に秀でていること。
60,一见钟情,falling in love at first sight,形容对某人或某事一见钟情，产生强烈的爱慕之情,一目見ただけで強烈な愛情や好意が湧き上がること
61,一箭双雕,achieving two goals with one action,To kill two birds with one stone,一度の行動で二つの目的を達成する
62,一见如故,feeling like old friends at the first meeting,初次见面就感觉像老朋友一样亲近,初対面であっても、すぐに気が合って親しくなること。
63,一举两得,achieving two goals with a single action,"to kill two birds with one stone, indicating that a single action can achieve two goals or produce two positive outcomes.",一石二鳥
64,一举成名,to become famous in one single action or achievement,一次行动就达到了名声。用来形容一举成功并因此名扬天下。,一つの行動や功績で名声を得る
65,一蹶不振,to be unable to recover after a setback or failure,遇到困难就受挫，一失意就无法恢复,一つの失敗で立ち直れない
66,一决雌雄,to have a decisive battle to determine the winner and loser,决定谁是胜者；决定两个人或两个事物中哪一个更强,二者の競争相手が、決定的な勝敗をつけること
